0000.419200 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.420009 00000215 6 00 20 00 00 01 01  
0000.422036 0000035D 8 90 03 00 00 09 C0 53 00
0000.423460 00000656 6 07 FF 07 FF 07 FF  
0000.423885 00000181 8 7D 00 32 10 32 20 32 00
0000.424136 000001F8 8 00 00 FF FF FE 00 00 0F
0000.424376 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.424581 0000065B 6 FF EF FE B8 40 7C  
0000.424873 0000027F 8 00 05 00 00 00 00 00 01
0000.425103 00000285 8 00 00 00 00 00 00 57 DE
0000.425324 00000284 8 00 00 00 00 00 00 57 DD
0000.429128 000001F9 6 20 00 7D 00 00 FF  
0000.429348 00000638 7 50 0F C5 90 00 00 00 
0000.429594 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.432031 000005FD 8 1F 64 55 4A C9 52 00 00
0000.433859 00000181 8 7D 00 32 10 32 20 32 00
0000.434109 000001F8 8 00 00 FF FF FE 00 00 0F
0000.434345 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.434591 000001FD 8 31 41 7F FF 7F FF 50 00
0000.434821 00000244 7 FE FE 00 18 00 00 FE 
0000.435072 00000354 8 00 00 00 00 00 00 06 00
0000.435876 000005E4 3 00 00 00     
0000.438697 000001F9 6 20 00 7D 00 00 FF  
0000.438938 00000427 8 DB FF FF C7 FF FF 28 00
0000.439183 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.439997 00000215 6 00 20 00 00 01 01  
0000.443848 00000181 8 7D 00 32 10 32 20 32 00
0000.444088 0000042E 8 FF FF DF FF E4 09 00 FF
0000.444324 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.444575 000001F8 8 00 00 FF FF FE 00 00 0F
0000.444831 0000027F 8 00 05 00 00 00 00 00 01
0000.445071 00000285 8 00 00 00 00 00 00 58 DF
0000.445317 00000284 8 00 00 00 00 00 00 58 DE
0000.445558 000005E9 8 00 38 00 00 00 18 00 02
0000.446162 00000651 2 04 F0      
0000.449208 000001F9 6 20 00 7D 00 00 FF  
0000.449449 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.452035 0000060D 8 0E 16 00 00 45 47 02 00
0000.453842 00000551 8 47 00 00 00 FE 02 00 00
0000.454093 000001F8 8 00 00 FF FF FE 00 00 0F
0000.454339 00000181 8 7D 00 32 10 32 20 32 00
0000.454569 00000244 7 FE FE 00 18 00 00 FE 
0000.454866 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.458696 000001F9 6 20 00 7D 00 00 FF  
0000.458947 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.460001 00000215 6 00 20 00 00 01 01  
0000.460216 00000625 6 82 60 E7 11 00 00  
0000.461967 00000366 4 00 00 00 A0    
0000.463877 00000181 8 7D 00 32 10 32 20 32 00
0000.464128 000001F8 8 00 00 FF FF FE 00 00 0F
0000.464374 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.464650 0000027F 8 00 05 00 00 00 00 00 01
0000.464896 00000285 8 00 00 00 00 00 00 59 E0
0000.465137 00000284 8 00 00 00 00 00 00 59 DF
